Open,High,Low,Close
2.6139648105417823,2.68270662926445,2.493721884857499,2.5688178057967046
2.5798688296701164,2.745718742605879,2.6099248867016223,2.6458223851852596
2.6516271257730706,2.74502359113746,2.585922429895909,2.6364992576597466
2.629821271190054,2.716832105140661,2.5971321594975842,2.6120253400914666
2.641559034591426,2.6738124075993603,2.6375517529806465,2.6450486025643585
2.6523976272341803,2.7146868176796883,2.647426990413949,2.6680183197576457
2.6669312034398507,2.8932653086215403,2.6939375499451614,2.784081275826272
2.7968570314774617,2.8817326971497703,2.828231934353935,2.8363602887512003
2.842860948847423,3.1002372046506115,2.870463337262306,3.065341745874652
3.0916024710183785,3.0927756786840286,2.9965799361011545,3.034211476898208
3.0522345039976666,3.1415474217908748,2.8556634049254916,2.9529961568236263
2.964244587482924,2.9655688786713275,2.6797139954247475,2.803574391468282
2.8299199865088775,2.895677152199129,2.71261886514365,2.8389397014930307
2.8233896151163247,2.9767780399491164,2.8488695910417268,2.9419533691493807
2.9527137468369244,2.9922725011001003,2.921384145690251,2.9775700392857796
2.99699127443163,3.2501283770877194,3.0248114352867095,3.197179189773617
3.199802043962211,3.4193450570682984,3.181525043183441,3.307833488336813
3.3129648005313066,3.462040291762561,3.3231920690177064,3.37399600473595
3.3924976484594684,3.609488563074007,3.432842625687324,3.4913038333674247
3.4947265426143033,3.560667816623838,3.424781799880889,3.436649948588237
3.4629235106559175,3.5274827511088995,3.273790702413228,3.418536274524491
3.377059091709157,3.5409473203108006,3.400242429482421,3.496514162541671
3.5106225835468132,3.668375554033233,3.5145041833586745,3.6020012591082007
3.616035133645322,3.675295762190569,3.5616312777092762,3.6768414242199703
3.679090129245119,3.8014101196423016,3.715745739401837,3.732431345073248
3.7227210293756485,3.7480384459268152,3.554454032923658,3.7059948951810564
3.7199045934098454,3.819372679139749,3.724436670518874,3.8237050516456574
3.837314090936604,3.9501949468525965,3.670599520825331,3.8764584864134015
3.9010925917055315,4.028823958267677,3.8616188271313368,3.940089023385562
3.9476967247443255,4.0892708421597375,3.990205614999516,4.02008742209086
4.026592242901385,4.1191994993917955,3.5558931836372323,4.035479181091676
4.045287121884062,4.088686959876667,3.9754701293771006,4.011773058600948
4.003244317740675,3.9850985171168603,3.3102620826753437,3.6095076913867947
3.616345860272205,3.6584938333095436,3.4918861746391934,3.6191260096353344
3.6287014397936512,3.689569198104445,3.5483168263586107,3.5245555973743157
3.5296601103356795,3.5484261877276397,3.2413397234164405,3.2003884352451304
3.202095797592898,3.491171412965867,3.1299615101069693,3.3131983502573195
3.2963196283262945,3.4378548343849356,3.3329014165561874,3.3685393050340893
3.3645451157964263,3.4669516197497625,3.1965362766144985,3.2574231415553156
3.27940995574849,3.283968941453551,2.4708436052543683,2.65812621316408
2.748055536668333,2.9312047992868573,2.493721884857499,2.552040622097051
2.5649115706017707,2.8564057995889187,2.4823428988667473,2.7635297233481912
2.7819750731956465,2.9621826584285342,2.5152044688996007,2.550348091796766
2.5471886564832737,2.5656907640034814,2.3582752047673217,2.3676541481119058
2.3420348760691603,2.4561333291813443,2.154278485395374,2.339048317782378
2.346164584579933,2.9141832602407804,2.362541126483169,2.7921911081363793
2.8260066065319833,3.432805952605186,2.7828617263273645,3.2995266097395803
3.3211907784586385,3.5108269344156837,3.259328824645762,3.4744574615444095
3.4771753574992195,3.578453633100239,3.3420908025480958,3.5512201103127548
3.554965502798628,3.6402332302025457,3.5103917976615957,3.6001163717623075
3.613234521849264,3.8080233227106515,3.6174446240715388,3.814225625046881
3.8220413078208826,4.056471035495545,3.769879757196864,3.9656376275635243
3.9517935428297926,4.108170242735446,3.9362293863388134,4.0361070218937405
4.04736750118985,4.12127842137154,4.074785488040248,4.093939441223286
4.100487248552103,4.156743406971375,4.024329890772947,4.020724328379361
4.005407584765818,4.039072076451173,3.9804034270511233,3.96586102594742
3.9791564478164863,4.050837453220271,4.044969918080235,4.044443332822194
4.0409051805830645,4.1908882322929495,4.079303317555138,4.164711231575326
4.164611890420099,4.165835566882256,4.1204746223685955,4.1734000056562905
4.16012933136973,4.198290546640928,4.161874586186296,4.102233832383532
4.099497676424044,4.216401722550279,4.170641109199264,4.199232715914229
4.209513797197983,4.34537826399772,4.288793344573774,4.255780951743885
4.268646373086998,4.388263468002819,4.352524704278242,4.385459672931377
4.397696451561329,4.449108537319714,4.4492173560903465,4.408795003065814
4.417044347814146,4.471094695141693,4.269715789290283,4.238415831033063
4.251588502830127,4.337392372113929,4.219870012304817,4.26122485167037
4.271688344759252,4.260377048433095,4.092526443260191,4.077558693955341
4.088551896296928,4.158750354084498,4.031173575484101,4.051066085914255
4.065094563062786,4.287533479609246,4.1235135969289765,4.251679886510599
4.255021728011963,4.335849747818208,4.316363742513315,4.235117586782826
4.24226382505119,4.2291035971397335,4.201001756275412,4.218473030326044
4.227244899730221,4.257888733043457,4.207057804700276,4.2585063423274
4.272025812690139,4.331828455488348,4.331976915424705,4.254244882363425
4.270337416305353,4.267313590451123,4.117209474009823,4.1366924643826914
4.1469476175027635,4.201447288079216,4.132151576656608,4.115334229753473
4.1044364627713135,4.281052734891146,4.063411086140105,4.267316518561752
4.258444058522452,4.263024865209384,4.150079070087111,4.115139870930384
4.165729621411723,4.19653275088273,4.047291631769406,3.9747590162827473
3.9818106105807742,4.308327971280239,4.016967954879604,4.318233026136565
4.319874199093685,4.432316824509169,4.371662849293793,4.367774491688173
4.368780610303524,4.47489619186399,4.416051767923688,4.432215641518685
4.4377898209943405,4.450496005916784,4.463759723238811,4.381976103160126
